Nombre; detalle; descripción; página; url ilustración; url metadatos ilustración
toro; cueros de toros; ; pg_0005; ;
vicuña; lana de vicuña; ; pg_0005; ;  
peces; pero de todos ellos apenas hay siete u ocho clases que sean comestibles; ; pg_0007; ; 
ballenas llamadas Gibars; ; ; pg_0007; ; 
lobos marinos; paren sus cachorros en la playa, y cuya piel es adecuada para varios usos; ; pg_0007; ; 
caballo; ; ; pg_0007; ; 
nutrias; con cuyas pieles se visten los salvajes; ; pg_0007; ; 
cerdos salvajes;
juncos; de diversos colores
toros; 
vacas;
ciervos; pieles se venden por legítima piel de ante
viñedos;
maíz;
mijo;
azúcar; 
tabajo;
miel;
madera de roble;
madera de pinos; 
yerba; llamada yerba del Paraguay, preparan una bebida refrescante con agua y azúcar, debe beberse tibia;

 
