"Nombre";"detalle";"descripción";"página";"url_ilustración";"url_metadatos_ilustración"
"toro";"cueros de toros";"";"pg_0005";"";""
"vicuña";"lana de vicuña";"";"pg_0005";"";" 
"peces";"pero de todos ellos apenas hay siete u ocho clases que sean comestibles";"";"pg_0007";"";""
"ballenas llamadas Gibars";"";"";"pg_0007";"";""
"lobos marinos";"paren sus cachorros en la playa, y cuya piel es adecuada para varios usos";"";"pg_0007";"";""
"caballo";"";"";"pg_0007";"";""
"nutrias";"con cuyas pieles se visten los salvajes";"";"pg_0007";"";""
"cerdos salvajes";"";"";"pg_0008";""
"juncos";"de diversos colores";"";"pg_0009";"";""
"toros";"";"";"pg_0009";"";""
"vacas";"";"";"pg_0009";"";""
"ciervos";"pieles se venden por legítima piel de ante";"";"pg_0009";"";""
"viñedos";"y ya tiene plantados bastantes como para abastecer de vino a los pueblos vecinos";"";"pg_0009";"";""
"maíz";"La tierra abunda en maíz";"";"pg_0010";"";""
"mijo";"";"";"pg_0010";"";""
"azúcar";"";"";"pg_0010";"";""
"tabajo";"";"";"pg_0010";"";""
"miel";"";"";"pg_0010";"";""
"madera de roble";"apropiada para construcciones navales";"";"pg_0010";"";""
"madera de pinos";"para mástiles";"";"pg_0010";"";""
"yerba";"llamada yerba del Paraguay, preparan una bebida refrescante con agua y azúcar, debe beberse tibia";"";"pg_0010";"";""
"naranjos";"";"";"pg_0018";"";""
"limoneros";"";"";"pg_0018";"";""
"higueras";"";"";"pg_0018";"";""
"manzanos";"";"";"pg_0018";"";""
"perales";"";"";"pg_0018";"";""
"zapallos";"";"";"pg_0018";"";""
"cebollas";"";"";"pg_0018";"";""
"ajo";"";"";"pg_0018";"";""
"lechuga";"";"";"pg_0018";"";""
"alberjas";"";"";"pg_0018";"";""
"habas";"y especialmente sus melones son excelentes, pues la tierra es muy fértil y buena";"";"pg_0018";"";""
"vaca";"carne de vaca";"";"pg_0018";"";""
"ternera";"";"";"pg_0018";"";""
"carnero";"";"";"pg_0018";"";""
"venado";"";"";"pg_0018";"";""
"liebres";"";"";"pg_0018";"";""
"conejos";"";"";"pg_0018";"";""
"gallinas";"";"";"pg_0018";"";""
"patos";"";"";"pg_0018";"";""
"gansos silvestres";"";"";"pg_0018";"";""
"perdices";"";"";"pg_0018";"";""
"palomas";"";"";"pg_0018";"";""
"tortugas";"";"";"pg_0018";"";""
"aves silvestres";"";"";"pg_0018";"";""
"avestruces";"";"";"pg_0019";"";""
"gusanos";"";"";"pg_0019";"";""
"moscas";"";"";"pg_0019";"";""
"trigo";"";"";"pg_0019";"";""
"cebada";"";"";"pg_0019";"";""
"mijo";"";"";"pg_0019";"";""
"caballos";"";"";"pg_0019";"";""
"mulas";"";"";"pg_0019";"";""
"ovejas";"";"";"pg_0019";"";""
"caballos";"";"";"pg_0019";"";""
"yeguas";"";"";"pg_0019";"";""
"mulas";"";"";"pg_0019";"";""
"asnos";"";"";"pg_0019";"";""
"cerdos";"";"";"pg_0019";"";""
"venados";"";"";"pg_0019";"";""
"nogales";"";"";"pg_0026";"";""
"castaños";"";"";"pg_0026";"";""
"guacamayos";"";"";"pg_0028";"";""
"dorado";"que es muy bueno para comer";"";"pg_0029";"";""
"lagarto";"";"";"pg_0029";"";""
"algarrobos";"cuyo fruto sirve para hacer una bebida que es dulce y picantita, y que sube a la cabeza como el vino";"";"pg_0032";"";""
"mulas";"";"";"pg_0032";"";""
"algodón";"";"";"pg_0032";"";""
"cochinilla";"para teñir";"";"pg_0032";"";""
"aves silvestres";"";"";"pg_0033";"";""
"venados";"";"";"pg_0033";"";""
"trigo";"";"";"pg_0033";"";""
"centeno";"";"";"pg_0033";"";""
"cebada";"";"";"pg_0033";"";""
"higos";"";"";"pg_0033";"";""
"duraznos";"";"";"pg_0033";"";""
"manzanas";"";"";"pg_0033";"";""
"peras";"";"";"pg_0033";"";""
"ciruelas";"";"";"pg_0033";"";""
"cerezas";"";"";"pg_0033";"";""
"uvas";"";"";"pg_0033";"";""
"tigres";"que son muy feroces y voraces, leones que son muy mansos y guanacos grandes como caballos, con el cuello muy largo y cabeza pequeña y cola muy corta, en el estómago de estos animales se encuentra la piedra bezoar";"";"pg_0033";"";""
"palmeras";"que producen dátiles algo menores a los de los países orientales";"";"pg_0034";"";""
"árboles y plantas";"entre otras la que produce la brea";"";"pg_0034";"";""
"tigre";"";"";"pg_0034";"";""
"moscas venenosas";"que pican agudamente";"";"pg_0034";"";""
"viñas";"";"";"pg_0035";"";""
"maíz";"";"";"pg_0035";"";""
"uvas";"";"";"pg_0035";"";""
"cabras";"";"";"pg_0039";"";""
"ovejas";"";"";"pg_0040";"";""
"vicuña";"de cuya lana este propietario saca considerable provecho";"";"pg_0040";"";""
"ovejas";"grandes ovejas, que llaman carneros de la tierra (podría referirse a camélidos de la zona andina), son más altos que los asnos y comúnmente llevan un peso de doscientas libras";"";"pg_0051";"";""
